video_s,wall,tempo,timing,hold_ms
25.6,07:21:54,Slightly Rushed,Great,
29.6,07:21:58,Great,Great,
34.0,07:22:02,Great,Great,
42.3,07:22:11,Great,Great,
49.3,07:22:18,Great,Slightly Early,
54.0,07:22:22,Great,Great,
62.3,07:22:31,Great,Great,
71.0,07:22:39,Great,Great,
79.0,07:22:47,Great,Great,
83.7,07:22:52,Great,Great,
130.3,07:23:39,Great,Great,
152.7,07:24:01,Great,Great,
205.0,07:24:53,Great,Great,
231.7,07:25:20,Rushed,Slightly Late,
260.0,07:25:48,,Slightly Late,
280.0,07:26:08,Slightly Rushed,Great,
306.0,07:26:34,Great,Great,
362.0,07:27:30,Great,Great,
412.3,07:28:21,Great,Great,
475.3,07:29:24,Great,Great,
503.0,07:29:51,Great,Great,
582.6,07:31:11,Great,Great,
636.0,07:32:04,Great,Great,
657.6,07:32:26,Great,Great,
700.3,07:33:09,Great,Great,
731.3,07:33:40,Great,Great,
765.3,07:34:14,Great,Great,
882.0,07:36:10,Rushed,Slightly Late,
916.3,07:36:45,,Great,
1020.6,07:38:29,Slightly Rushed,Slightly Late,
1226.7,07:41:55,Slow,,
1451.0,07:45:39,Great,Great,
